,elo1_pre,elo2_pre,elo_prob1,rating1_pre,rating2_pre,pitcher1_rgs,pitcher2_rgs,rating_prob1,score1,score2
295,1458.25194767814,1506.0518989791,0.4658025904560243,1457.2608516276598,1514.00688257434,47.6451984425593,49.161400522672004,0.45400955076096705,1.0,8.0
296,1509.77106014256,1543.81609492681,0.4855480594721722,1493.906060681,1554.8331703593801,46.9073236589836,48.822346076185895,0.442260550950569,2.0,7.0
297,1537.7454058548199,1443.35771988458,0.6640721285447982,1541.23318454572,1441.9204134587399,54.918916693768,51.287194479205894,0.616836530463101,0.0,3.0
298,1439.29047548492,1497.17785966345,0.4513861942154303,1447.44247291374,1503.9800341107,48.4361787762207,49.7674473911569,0.4326538787672,0.0,19.0
299,1499.6014380953302,1480.8331556082999,0.56123949993738,1472.5569727514999,1452.93924100107,48.9105873961499,47.901109795394405,0.545613537221913,6.0,5.0
300,1489.9575890873002,1585.43750943655,0.39855933616921857,1493.5265249748902,1597.3930721009801,49.3945718803361,57.1208882382183,0.32341008654085995,9.0,10.0
301,1556.17043208798,1546.6482948844,0.5480930890180303,1537.3942264859697,1557.5557678781602,53.5821935994807,44.7823944158869,0.564055296867364,4.0,5.0
302,1510.52862996461,1477.6273046276401,0.5811632222857492,1524.47674942928,1483.04695229287,59.734162256913606,47.0313992578762,0.6462133609089781,14.0,5.0
303,1520.2738290328698,1480.78275894837,0.5903672994526348,1523.64552768672,1506.4823074321698,48.0621904427717,49.0985097540182,0.545173375438875,3.0,0.0
304,1457.80377666086,1479.1630776542902,0.5038001981781074,1458.26682317678,1493.59078029315,60.3095669392875,47.8188173969623,0.535683270614475,7.0,1.0
305,1506.4371913512,1484.8017910927801,0.5652995220885979,1506.88305062421,1484.3327258049499,46.857737753667095,46.399048689873,0.520223977166487,2.0,5.0
306,1515.9843587594,1466.55459848328,0.6041281217675825,1523.38373673543,1432.7599926837602,46.834547656565505,50.4023054929115,0.595466531043223,2.0,11.0
307,1435.9899151756,1500.4784199727699,0.44199470013060665,1444.92301148885,1506.4994955355899,50.3697694225139,49.8977639744141,0.43400691998642293,8.0,3.0
308,1541.5817907612302,1467.8548014878197,0.637045077372568,1539.3667343268899,1465.83204012452,43.19538109518021,50.254554808826704,0.56664279515421,0.0,8.0
309,1456.68146226522,1507.62238439202,0.461306417558939,1456.1372670005899,1515.1304672014098,49.781650634493296,47.4585021016953,0.48141188386649797,5.0,4.0
310,1508.34296905832,1545.24418601105,0.4814421849654014,1492.77039644255,1555.9688345978302,51.3548510002117,50.652835650400895,0.45636256696464894,2.0,1.0
311,1528.52827843043,1534.87080013331,0.5253892983062938,1517.4973782466598,1548.11686888279,47.085959038221795,50.9712646526066,0.45289445189521,6.0,4.0
312,1548.60881601293,1554.20991095945,0.5264534290330379,1559.17057412227,1535.77942024186,57.9811629242805,51.855074319711704,0.5677974746500961,2.0,4.0
313,1540.33011838167,1440.7730073577302,0.6706777260026237,1542.9512510126401,1440.2023469918201,50.9167455174025,48.6337846761102,0.613881124703924,6.0,8.0
314,1528.30468772059,1554.7748014968,0.4964452804174427,1524.06182186444,1552.3076349315197,48.878060089741794,52.657127890101,0.45749361141579703,5.0,3.0
315,1505.2630391493399,1485.9759432946398,0.5619747970515991,1505.89889847812,1485.31687795104,49.1900209718902,47.588057823143394,0.5226012735546021,6.0,5.0
316,1531.35915228686,1532.0399262768801,0.5335087617364389,1519.28743603838,1546.3268110910699,50.609973473661206,53.279970248629,0.465752636160521,3.0,7.0
317,1509.33376355578,1478.8221710364598,0.5778110503302407,1523.5888194364402,1483.9348822857098,53.1525803901262,50.1915561460814,0.5807138515973361,1.0,0.0
